     Time                caller                       callee          
 320.679657      inaro.wallpaper-2281     => surfaceflinger           
 320.695496      inaro.wallpaper-2281     => surfaceflinger           
 320.705872      inaro.wallpaper-2281     => surfaceflinger           
 320.717590      inaro.wallpaper-2281     => surfaceflinger           
 320.728363      inaro.wallpaper-2281     => surfaceflinger           
 321.748169      inaro.wallpaper-2281     => surfaceflinger           
 321.757904      inaro.wallpaper-2281     => surfaceflinger           
 321.773315      inaro.wallpaper-2281     => surfaceflinger           
 321.783112      inaro.wallpaper-2281     => surfaceflinger           
 321.799042      inaro.wallpaper-2281     => surfaceflinger           
 321.808777      inaro.wallpaper-2281     => surfaceflinger           
 321.827820      inaro.wallpaper-2281     => surfaceflinger           
 321.837646      inaro.wallpaper-2281     => surfaceflinger           
 321.853363      inaro.wallpaper-2281     => surfaceflinger           
 321.863129      inaro.wallpaper-2281     => surfaceflinger           
 321.882172      inaro.wallpaper-2281     => surfaceflinger           
 321.892334      inaro.wallpaper-2281     => surfaceflinger           
 321.908020      inaro.wallpaper-2281     => surfaceflinger           
 321.918335      inaro.wallpaper-2281     => surfaceflinger           
 321.937347      inaro.wallpaper-2281     => surfaceflinger           
 321.947357      inaro.wallpaper-2281     => surfaceflinger           
 321.963074      inaro.wallpaper-2281     => surfaceflinger           
 321.972992      inaro.wallpaper-2281     => surfaceflinger           
 321.992279      inaro.wallpaper-2281     => surfaceflinger           
 322.002289      inaro.wallpaper-2281     => surfaceflinger           
 322.018005      inaro.wallpaper-2281     => surfaceflinger           
 322.028107      inaro.wallpaper-2281     => surfaceflinger           
 322.042603      inaro.wallpaper-2281     => surfaceflinger           
 322.052673      inaro.wallpaper-2281     => surfaceflinger           
 322.064911      inaro.wallpaper-2281     => surfaceflinger           
 322.075012      inaro.wallpaper-2281     => surfaceflinger           
 322.091248      inaro.wallpaper-2281     => surfaceflinger           
 322.101410      inaro.wallpaper-2281     => surfaceflinger           
 322.117584      inaro.wallpaper-2281     => surfaceflinger           
 322.127686      inaro.wallpaper-2281     => surfaceflinger           
 322.143707      inaro.wallpaper-2281     => surfaceflinger           
